1,Status,Program,Co-op,Grade Percentage,Date Accepted,Type,Other,,
55,Accepted,Financial Analysis Risk Management,Yes,93.2,10-May,101,,,
55,Accepted,Mathematics,Yes,93.2,10-May,101,,,
55,Accepted,Mathematics and Business Administration,Yes,93.2,10-May,101,,,
56,Accepted,Biomedical Engineering,Yes,97.6,26-Mar,105,16.6 adj,,
57,Accepted,Biomedical Engineering,Yes,96.4,29-Mar,105D,,,
58,Accepted,Biomedical Engineering,Yes,95,29-Mar,105D,,,
59,Accepted,Biomedical Engineering,Yes,98.8,10-May,105F,,,
60,Accepted,Biomedical Engineering,Yes,99.8,29-Mar,101,,,
61,Accepted,Biomedical Engineering,Yes,93.2,29-Mar,101,,,
62,Accepted,Biomedical Engineering,Yes,99.96,29-Mar,101,,,
63,Accepted,Biomedical Engineering,Yes,95.5,29-Mar,101,11.6 adj,,
64,Accepted,Biomedical Engineering,Yes,98,29-Mar,101,,,
65,Accepted,Biomedical Engineering,Yes,96.8,20-Apr,101,applied for early decision,,
66,Accepted,Biomedical Engineering,Yes,94,07-May,101,,,
67,Accepted,Biomedical Engineering,Yes,97.5,07-May,101,,,
68,Accepted,Biomedical Engineering,Yes,93.5,07-May,101,12.5 adj,,
69,Deferred,Biomedical Engineering,Yes,97,07-May,101,"800 hours of comp dance a year, ballet scholarship, more than 500 hours of volunteer work, my own free tutoring project, 5 math contests, worked at Walmart, Ontario finalist for swimming, several clubs and student council",,
70,Accepted,Biomedical Engineering,Yes,92,07-May,101,yay,,
71,Accepted,Biomedical Engineering,Yes,95,30-Mar,101,,,
72,Rejected,Biomedical Engineering,Yes,94.5,13-May,101,,,
73,Accepted,Computer Engineering,Yes,97.7,07-May,101,copium,,
74,Rejected,Computer Engineering,Yes,96.5,13-May,101,darn.,,
75,Rejected,Computer Engineering,Yes,96.8,13-May,101,what??!!?? how,,
76,Rejected,Computer Engineering,Yes,93.66,13-May,101,78 in chem omegalul. I know why fraser is hardstuck 16 adjust now,,
77,Rejected,Computer Engineering,Yes,95.2,13-May,101,:),,
78,Rejected,Computer Engineering,Yes,96.2,13-May,101,,,
79,Rejected,Computer Engineering,Yes,97.3,13-May,105D,pain peko,,
80,Rejected,Computer Engineering,Yes,96.83,13-May,101,,,
81,Accepted,Computing and Financial Management,Yes,95.33,10-May,101,got 90 on Euclid and decent EC’s,,
82,Accepted,Computing and Financial Management,Yes,98.2,12-May,101,,,
83,Accepted,Computing and Financial Management,Yes,97.4,13-May,105F,good aif and ec,,
84,Accepted,Computing and Financial Management,Yes,98.6,10-May,101,solid ecs + contest scores,,
85,Accepted,Computing and Financial Management,Yes,98,10-May,101,,,
86,Accepted,Computing and Financial Management,Yes,A*,09-Apr,105F,"Decent ECs, 78 Euclid, 25k + 2k scholarship",,
87,Accepted,Computing and Financial Management,Yes,94.5,10-May,101,,,
88,Accepted,Physical Sciences,Yes,93,29-Mar,101,,,
89,Accepted,Chemical Engineering,Yes,90.7,07-May,101,,,
90,Accepted,Chemical Engineering,Yes,95,29-Mar,101,,,
91,Accepted,Chemical Engineering,Yes,94,29-Mar,101,,,
92,Accepted,Chemical Engineering,Yes,93.5,29-Mar,101,,,
93,Accepted,Chemical Engineering,Yes,96,30-Mar,101,,,
94,Accepted,Chemical Engineering,Yes,95.2,05-May,101,,,
95,Accepted,Civil Engineering,Yes,93.8,29-Mar,101,,,
96,Accepted,Civil Engineering,Yes,94.8,29-Mar,101,normal adjust,,
97,Accepted,Civil Engineering,Yes,96.6,29-Mar,101,,,
98,Accepted,Civil Engineering,Yes,99,29-Mar,101,volunteer ballet teacher for 4 years,,
99,Accepted,Civil Engineering,Yes,93,29-Mar,101,88 Voluenteer Hours,,
100,Accepted,Civil Engineering,Yes,95.6,30-Mar,105F,,,
101,Accepted,Civil Engineering,Yes,97.3,30-Mar,101,,,
102,Accepted,Civil Engineering,Yes,97,29-Mar,101,,,
103,Accepted,Civil Engineering,Yes,weighted 4.01/4.5,10-May,105F,,,
104,Accepted,Civil Engineering,Yes,93,,101,,,
105,Accepted,Computer Engineering,Yes,98.5,07-May,101,copium 🙏,,
106,Rejected,Computer Engineering,Yes,96.3,13-May,105D,oof,,
107,Accepted,Computer Science,Yes,98.83,21-May,101,,,
108,Accepted,Computer Engineering,Yes,3.9,10-May,105D,Transfer from Alberta (Cell Bio),,
109,Accepted,Computer Engineering,Yes,95.66,07-May,101,,,
110,Accepted,Computer Engineering,Yes,95.4,29-Mar,101,,,
111,Accepted,Computer Engineering,Yes,94.6,29-Mar,105,,,
112,Accepted,Computer Engineering,Yes,95.4,29-Mar,105,,,
113,Accepted,Computer Engineering,Yes,95,30-Mar,105,,,
114,Accepted,Computer Engineering,Yes,92,,105,,,
115,Accepted,Computer Engineering,Yes,96,20-Apr,105,,,
116,Accepted,Computer Engineering,Yes,95,20-Apr,105,,,
117,Accepted,Computer Engineering,Yes,94.8,07-May,101,,,
118,Accepted,Computer Engineering,Yes,97,07-May,101,adj around 12,,
119,Accepted,Computer Engineering,Yes,96,29-Mar,,12.7 adj,,
120,Accepted,Computer Engineering,Yes,99,29-Mar,101,,,
121,Accepted,Computer Engineering,Yes,97.5,29-Mar,101,,,
122,Accepted,Computer Engineering,Yes,95,07-May,101,,,
123,Accepted,Computer Engineering,Yes,95,29-Mar,105D,,,
124,Accepted,Computer Engineering,Yes,97.8,29-Mar,101,,,
125,Accepted,Computer Engineering,Yes,97,29-Mar,101,IB,,
126,Accepted,Computer Engineering,Yes,98,07-May,101,,,
127,Accepted,Computer Engineering,Yes,95,07-May,101,,,
128,Accepted,Computer Engineering,Yes,98,29-Mar,101,IB,,
129,Accepted,Computer Engineering,Yes,93.5,26-Mar,105D,,,
130,Accepted,Computer Engineering,Yes,98,26-Mar,105D,,,
131,Accepted,Computer Engineering,Yes,99.3,29-Mar,101,,,
132,Accepted,Computer Engineering,Yes,94,29-Mar,101,,,
133,Accepted,Computer Engineering,Yes,98,29-Mar,101,,,
134,Accepted,Computer Engineering,Yes,98,29-Mar,101,,,
135,Accepted,Computer Engineering,Yes,99,29-Mar,101,,,
136,Accepted,Computer Engineering,Yes,94.5,29-Mar,101,normal adjust,,
137,Accepted,Computer Engineering,Yes,94,29-Mar,101,12.2 adjust,,
138,Accepted,Computer Engineering,Yes,96,29-Mar,101,normal adjust,,
139,Accepted,Computer Engineering,Yes,99,29-Mar,101,,,
140,Accepted,Computer Engineering,Yes,96,29-Mar,101,,,
141,Accepted,Computer Engineering,Yes,92,29-Mar,105D,,,
142,Accepted,Computer Engineering,Yes,96.87,29-Mar,101,,,
143,Accepted,Computer Engineering,Yes,98,29-Mar,101,,,
144,Accepted,Computer Engineering,Yes,96.2,29-Mar,101,,,
145,Accepted,Computer Engineering,Yes,97,29-Mar,101,,,
146,Accepted,Computer Engineering,Yes,97,29-Mar,101,,,
147,Accepted,Computer Engineering,Yes,95.8,30-Mar,105F,,,
148,Accepted,Computer Engineering,Yes,95,29-Mar,105,,,
149,Accepted,Computer Engineering,Yes,95,20-Apr,105,"CBSE (asked for early consideration, offered for alternative program)",,
150,Accepted,Computer Engineering,Yes,IB: 43/45,20-Apr,105,,,
151,Accepted,Computer Engineering,Yes,91,30-Mar,,,,
152,Accepted,Computer Engineering,Yes,94,29-Mar,101,,,
153,Accepted,Computer Engineering,Yes,95.3,07-May,101,,,
154,Accepted,Computer Engineering,Yes,96,07-May,101,,,
155,Accepted,Computer Engineering,Yes,94,07-May,101,,,
156,Accepted,Computer Engineering,Yes,97,05-May,101,,,
157,Accepted,Computer Engineering,Yes,96.67,07-May,101,regular adjustment,,
158,Accepted,Computer Engineering,Yes,97.6,07-May,101,,,
159,Accepted,Computer Engineering,Yes,94,07-May,101,,,
160,Accepted,Computer Engineering,Yes,97.2,07-May,101,W,,
161,Accepted,Computer Engineering,Yes,97.5,07-May,101,IB,,
162,Accepted,Computer Engineering,Yes,92,30-Mar,105,,,
163,Accepted,Computer Engineering,Yes,93,29-Mar,101,,,
164,Deferred,Computer Engineering,Yes,96.5,07-May,101,Deferred from Software Engineering,,
165,Accepted,Computer Engineering,Yes,96.8,10-May,105D,NS,,
166,Accepted,Computer Engineering,Yes,96.5,30-Mar,101,,,
167,Accepted,Computer Engineering,Yes,98,07-May,101,Ontario adjustment,,
168,Accepted,Computer Engineering,Yes,94.8,30-Mar,105F,,,
169,Accepted,Computer Engineering,Yes,98.9,04-Apr,105D,"CBSE,requested for early decision",,
170,Accepted,Computer Engineering,Yes,89.5,10-May,105D,,,
171,Accepted,Computer Engineering,Yes,96.9,10-May,105D,"avg adjustment i think, not 100% sure tho, overall average is calculated with 5 eng subjects (g12 math, calc, g12 physics, g12 chem, g12 ela)",,
172,Accepted,Computer Engineering,Yes,92,10-May,105D,,,
173,Accepted,Computer Engineering,Yes,96,07-May,101,,,
174,Accepted,Computer Engineering,Yes,96.2,29-Mar,101,,,
175,Rejected,Computer Engineering,Yes,94,13-May,105D,Transfer Applicant From Manitoba,,
176,Rejected,Computer Engineering,Yes,98.5,21-May,101,,,
177,Accepted,Computer Engineering,Yes,97,07-May,101,"83 on Euclid, 30 on CCC, VEX World's Qualifier and have experience founding a Non-profit organisation.",,
178,Accepted,Computer Science,Yes,99.8,05-Apr,101,,,
179,Accepted,Computer Science,Yes,99,05-Apr,101,,,
180,Accepted,Computer Science,Yes,95,23-Mar,105,"$20,000 CAD scholarship",,CBSE
181,Accepted,Computer Science,Yes,97,05-Apr,101,Average Adjustment,,
182,Accepted,Computer Science,Yes,95.6,02-Apr,105,95.6 +2.9 for IB,,
183,Accepted,Computer Science,Yes,98,,101,,,
184,Accepted,Computer Science,Yes,96,05-Apr,101,,,
185,Accepted,Computer Science,Yes,98,05-Apr,101,,,
186,Accepted,Computer Science,Yes,97,05-Apr,101,,,
187,Accepted,Computer Science,Yes,97.7,04-May,,,,
188,Accepted,Computer Science,Yes,97.16,06-Apr,101,FOM Scholarship Early Offer,,
189,Accepted,Computer Science,Yes,100,09-Apr,105,,,
190,Accepted,Computer Science,Yes,97,06-Apr,101,,,
191,Accepted,Computer Science,Yes,99.7,02-Apr,105,AP,,
192,Accepted,Computer Science,Yes,97.2,10-May,101,good AIF submitted on deadline,,
193,Accepted,Computer Science,Yes,98,10-May,101,,,
194,Accepted,Computer Science,Yes,99.2,10-May,101,,,
195,Accepted,Computer Science,Yes,98,10-May,101,Ontario adjustment,,
196,Accepted,Computer Science,Yes,97.8,10-May,101,,,
197,Accepted,Computer Science,Yes,97.5,10-May,101,,,
198,Accepted,Computer Science,Yes,96.8,10-May,101,,,
199,Accepted,Computer Science,Yes,97,10-May,101,Co-op,,
200,Accepted,Computer Science,Yes,95,10-May,101,,,
201,Accepted,Computer Science,Yes,98.3,10-May,101,,,
202,Accepted,Computer Science,Yes,99,10-May,101,,,
203,Accepted,Computer Science,Yes,98.5,10-May,101,,,
204,Accepted,Computer Science,Yes,99,10-May,101,International,,
205,Accepted,Computer Science,Yes,99,10-May,101,,,
206,Accepted,Computer Science,Yes,97.83,10-May,101,,,
207,Accepted,Computer Science,Yes,97.8,10-May,101,,,
208,Accepted,Computer Science,Yes,99.5,10-May,101,,,
209,Accepted,Computer Science,Yes,98,10-May,101,,,
210,Accepted,Computer Science,Yes,96,10-May,101,,,
211,Accepted,Computer Science,Yes,98.5,10-May,101,Commited to CFM,,
212,Accepted,Computer Science,Yes,97.6,10-May,101,,,
213,Accepted,Computer Science,Yes,99,10-May,101,"IB, CCC 41, Euclid 95",,
214,Accepted,Computer Science,Yes,97.66,10-May,101,,,
215,Accepted,Computer Science,Yes,97,10-May,101,,,
216,Accepted,Computer Science,Yes,99,10-May,101,,,
217,Accepted,Computer Science,Yes,96.8,10-May,101,good ECs,,
218,Accepted,Computer Science,Yes,97,10-May,101,,,
219,Accepted,Computer Science,Yes,98.17,10-May,101,Good ECs,,
220,Accepted,Computer Science,Yes,99,10-May,101,,,
221,Accepted,Computer Science,Yes,96.3,21-Oct,101,Disability form,,
222,Accepted,Computer Science,Yes,98.17,10-May,101,also cool,,
223,Accepted,Computer Science,Yes,98.2,10-May,101,,,
224,Accepted,Computer Science,Yes,96.5,10-May,101,night school english lul,,
225,Accepted,Computer Science,Yes,98.2,10-May,101,,,
226,Accepted,Computer Science,Yes,99,10-May,101,dogshit dumpster fire ec's,,
227,Accepted,Computer Science,Yes,98.7,10-May,101,,,
228,Accepted,Computer Science,Yes,99,10-May,101,,,
229,Accepted,Computer Science,Yes,96,10-May,101,nice,,
230,Accepted,Computer Science,Yes,96.5,10-May,101,,,
231,Accepted,Computer Science,Yes,97,10-May,101,"decent aif, good contest",,
232,Accepted,Computer Science,Yes,98,10-May,101,,,
233,Accepted,Computer Science,Yes,94.6,10-May,101,,,
234,Accepted,Computer Science,Yes,98.8,10-May,101,,,
235,Accepted,Computer Science,Yes,99.17,10-May,101,LETS GOOOOOO,,
236,Accepted,Computer Science,Yes,98,10-May,101,,,
237,Accepted,Computer Science,Yes,97.33,10-May,101,,,
238,Accepted,Computer Science,Yes,97.3,10-May,101,POGGIES,,
239,Accepted,Computer Science,Yes,97,10-May,101,,,
240,Accepted,Computer Science,Yes,99,10-May,101,daddy is collecting his bitches now,,
241,Accepted,Computer Science,Yes,97,10-May,101,,,
242,Accepted,Computer Science,Yes,96,10-May,101,,,
243,Accepted,Computer Science,Yes,97,10-May,101,,,
244,Accepted,Computer Science,Yes,98.7,10-May,101,,,
245,Accepted,Computer Science,Yes,96,10-May,101,,,
246,Accepted,Computer Science,Yes,98.2,10-May,101,Normal adj.,,
247,Accepted,Computer Science,Yes,93.7,10-May,101,,,
248,Accepted,Computer Science,Yes,98.3,10-May,101,,,
249,Accepted,Computer Science,Yes,99,10-May,101,,,
250,Accepted,Computer Science,Yes,96.5,10-May,101,,,
251,Accepted,Computer Science,Yes,98,10-May,101,,,
252,Accepted,Computer Science,Yes,97.3,10-May,101,,,
253,Accepted,Computer Science,Yes,97,10-May,101,No Euclid,,
254,Accepted,Computer Science,Yes,97.3,10-May,101,already accepted civil eng offer,,
255,Accepted,Computer Science,Yes,97.5,10-May,101,"euclid 52,ccc 25",,
256,Accepted,Computer Science,Yes,98,10-May,101,RnG is real,,
257,Accepted,Computer Science,Yes,97,21-Nov,105F,,,
258,Accepted,Computer Science,Yes,98,10-May,101,,,
259,Accepted,Computer Science,Yes,97,10-May,101,,,
260,Accepted,Computer Science,Yes,98.3,10-May,101,,,
261,Accepted,Computer Science,Yes,97,11-May,101,,,
262,Accepted,Computer Science,Yes,96.8,11-May,105F,,,
263,Accepted,Computer Science,Yes,97,11-May,105F,,,
264,Accepted,Computer Science,Yes,97.5,10-May,101,,,
265,Accepted,Computer Science,Yes,98.5,10-May,101,IB,,
266,Accepted,Computer Science,Yes,98.9,11-May,105D,"CBSE, CSMC 52,Euclid 65",,
267,Accepted,Computer Science,Yes,97,11-May,105F,,,
268,Accepted,Computer Science,Yes,97.4,11-May,105F,,,
269,Accepted,Computer Science,Yes,96,10-May,101,,,
270,Accepted,Computer Science,Yes,97.2,10-May,101,,,
271,Accepted,Computer Science,Yes,98,11-May,105D,,,
272,Accepted,Computer Science,Yes,96.5,11-May,101,,,
273,Accepted,Computer Science,Yes,97.8,10-May,101,,,
274,Accepted,Computer Science,Yes,97.3,10-May,101,didn't know SE existed 😳,,
275,Accepted,Computer Science,Yes,98.2,10-May,101,,,
276,Accepted,Computer Science,Yes,97.6,11-May,105D,,,
277,Accepted,Computer Science,Yes,99,10-May,101,,,
278,Accepted,Computer Science,Yes,99.2,10-May,101,,,
279,Accepted,Computer Science,Yes,96.5,10-May,101,,,
280,Accepted,Computer Science,Yes,97.3,11-May,105D,,,
281,Accepted,Computer Science,Yes,97.17,10-May,101,,,
282,Accepted,Computer Science,Yes,100,11-May,105D,,,
283,Accepted,Computer Science,Yes,97.3,11-May,105D,no contests,,
284,Accepted,Computer Science,Yes,99.3,11-May,105D,,,
285,Accepted,Computer Science,Yes,97,12-May,105D,professional minecraft,,
286,Accepted,Computer Science,Yes,99.3,10-May,101,,,
287,Deferred,Computer Science,Yes,96.33,13-May,101,deferred from CS,,
288,Accepted,Computer Science,Yes,99.4,10-May,101,"Whole lotta ECs, mediocre contest scores, some decent awards/trophies",,
289,Accepted,Computer Science,Yes,99.4,10-May,101,"Whole lotta ECs, mediocre contest scores, some decent awards/trophies",,
290,Accepted,Computing and Financial Management,Yes,96.5,10-May,101,,,
291,Accepted,Computing and Financial Management,Yes,97,10-May,101,,,
292,Accepted,Computing and Financial Management,Yes,97.33,10-May,101,,,
293,Accepted,Computing and Financial Management,Yes,95.3,10-May,101,,,
294,Accepted,Computing and Financial Management,Yes,97,10-May,101,,,
295,Accepted,Computing and Financial Management,Yes,99,10-May,101,,,
296,Accepted,Computing and Financial Management,Yes,97.83,10-May,101,,,
297,Accepted,Computing and Financial Management,Yes,98.5,10-May,101,Commited,,
298,Accepted,Computing and Financial Management,Yes,99,10-May,101,IB,,
299,Accepted,Computing and Financial Management,Yes,96.33,10-May,101,,,
300,Accepted,Computing and Financial Management,Yes,97,10-May,101,,,
301,Accepted,Computing and Financial Management,Yes,96.8,10-May,101,Good ECs,,
302,Accepted,Computing and Financial Management,Yes,96.5,10-May,101,night school english lul,,
303,Accepted,Computing and Financial Management,Yes,97.83,10-May,101,unreal,,
304,Accepted,Computing and Financial Management,Yes,97.6,10-May,101,yay,,
305,Accepted,Computing and Financial Management,Yes,96.3,10-May,101,I had a disability form to explain bad gr11 marks and private school.,,
306,Accepted,Computing and Financial Management,Yes,97.8,10-May,101,,,
307,Accepted,Computing and Financial Management,Yes,98.3,10-May,101,,,
308,Accepted,Computing and Financial Management,Yes,96,10-May,101,,,
309,Accepted,Computer Science,Yes,idk predicted but around 38-40/42,11-May,105F,,,
310,Deferred,Computer Science,Yes,94,13-May,101,,,
311,Accepted,Computer Science and Business Administration,Yes,97.2,10-May,101,,,
312,Accepted,Computer Science and Business Administration,Yes,95.8,05-Apr,101,Strong ECs,,
313,Accepted,Computer Science and Business Administration,Yes,99,10-May,101,,,
314,Accepted,Computer Science and Business Administration,Yes,98.8,05-Apr,101,,,
315,Accepted,Computer Science and Business Administration,Yes,97.8,05-Apr,101,,,
316,Accepted,Computer Science and Business Administration,Yes,98,10-May,101,,,
317,Accepted,Computer Science and Business Administration,Yes,99,10-May,101,,,
318,Accepted,Computer Science and Business Administration,Yes,97,10-May,101,Waterloo side,,
319,Accepted,Computer Science and Business Administration,Yes,98,05-Apr,101,,,
320,Accepted,Computer Science and Business Administration,Yes,98,,101,,,
321,Accepted,Computer Science and Business Administration,Yes,97.8,10-May,101,,,
322,Accepted,Computer Science and Business Administration,Yes,97.66,10-May,101,,,
323,Accepted,Computer Science and Business Administration,Yes,98,10-May,101,"Started a VEX Robotics club, Diamond in Rocket League, regular Ontario adjstument",,
324,Accepted,Computer Science and Business Administration,Yes,96,10-May,101,,,
325,Accepted,Computer Science and Business Administration,Yes,97,05-Apr,101,Average Adjustment Factor,,
326,Accepted,Computer Science and Business Administration,Yes,98.7,10-May,101,,,
327,Accepted,Computer Science and Business Administration,Yes,98.17,10-May,101,Good ECs,,
328,Accepted,Computer Science and Business Administration,Yes,98,10-May,101,,,
329,Accepted,Computer Science and Business Administration,Yes,96.2,10-May,101,Committed elsewhere,,
330,Accepted,Computer Science and Business Administration,Yes,91.3,10-May,101,,,
331,Accepted,Computer Science and Business Administration,Yes,96.2,10-May,101,,,
332,Accepted,Computer Science and Business Administration,Yes,96.5,10-May,101,,,
333,Accepted,Computer Science and Business Administration,Yes,97,10-May,101,,,
334,Accepted,Computer Science and Business Administration,Yes,98.5,10-May,101,waterloo side,,
335,Accepted,Computer Science and Business Administration,Yes,97.3,11-May,105D,no contests,,
336,Accepted,Computer Science and Business Administration,Yes,99.3,11-May,105D,,,
337,Accepted,Computing and Financial Management,Yes,99.3,10-May,101,,,
338,Accepted,Conputer Engineering,Yes,98.2,29-Mar,101,,,
339,Accepted,Computer Science,Yes,98,10-May,101,poggies,,
340,Accepted,Computer Science,Yes,98.5,10-May,101,🤔,,
341,Deferred,Computer Science,Yes,95.3,13-May,101,,,
342,Deferred,Computer Science,Yes,95.8,13-May,101,"Deferred to geomatics, geomatics is love, geomatics is life. Geomatics 225%!",,
343,Accepted,Computer Science,Yes,98,10-May,101,"Euclid 82, CCC 52",,
344,Accepted,Computer Science,Yes,98.6,10-May,101,solid ec + contest scores,,
345,Accepted,Computer Science,Yes,98,10-May,101,,,
346,Accepted,Computer Science,Yes,99,10-May,101,,,
347,Deferred,Computer Science and Business Administration,Yes,95.33,12-May,101,for deferred to math with a 90 on Euclid and decent ec’s smh,,
348,Accepted,Computer Science and Business Administration,Yes,98.6,10-May,101,solid ecs + contest scores,,
349,Accepted,Computer Science and Business Administration,Yes,97,11-May,101,,,
350,Accepted,Electrical Engineering,Yes,90,20-Apr,101,,,
351,Accepted,Electrical Engineering,Yes,93.5,07-May,101,,,
352,Accepted,Electrical Engineering,Yes,96.2,29-Mar,,,,
353,Accepted,Electrical Engineering,Yes,95,29-Mar,101,,,
354,Accepted,Electrical Engineering,Yes,94,26-Mar,105,,,
355,Accepted,Electrical Engineering,Yes,99.2,29-Mar,101,,,
356,Accepted,Electrical Engineering,Yes,94,29-Mar,101,15.9 adjust,,
357,Accepted,Electrical Engineering,Yes,97,29-Mar,101,17.9 adjust,,
358,Accepted,Electrical Engineering,Yes,96.3,29-Mar,101,worked at UW,,
359,Accepted,Electrical Engineering,Yes,95,26-Mar,105D,,,
360,Accepted,Electrical Engineering,Yes,93,29-Mar,105D,,,
361,Accepted,Electrical Engineering,Yes,96,29-Mar,101,,,
362,Accepted,Electrical Engineering,Yes,95.5,29-Mar,101,,,
363,Accepted,Electrical Engineering,Yes,98,20-Apr,105,Early consideration,,
364,Accepted,Electrical Engineering,Yes,96,07-May,101,,,
365,Accepted,Electrical Engineering,Yes,94,30-Mar,101,Name: Benjamin Liu,,
366,Accepted,Electrical Engineering,Yes,93.2,10-May,105D,Uni Transfer Applicant from Guelph Mech Eng,,
367,Deferred,Environmental Engineering,Yes,97,07-May,101,deferred from BME sigh,,
368,Accepted,Environmental Engineering,Yes,96,29-Mar,,IB,,
369,Accepted,Environmental Engineering,Yes,94.75,20-Apr,105D,early consideration,,
370,Accepted,Environmental Engineering,Yes,94.75,20-Apr,105D,sry I couldn’t log into my old acc,,
371,Accepted,Environmental Engineering,Yes,92.5,07-May,101,,,
372,Accepted,Environmental Engineering,Yes,93,07-May,101,nice,,
373,Accepted,Environment and Business,Yes,93.5,21-Jan,105,,,
373,Accepted,Environmental Science,Yes,93.5,21-Jan,105,,,
373,Accepted,Planning,Yes,93.5,21-Jan,105,,,
374,Accepted,Financial Analysis Risk Management,Yes,95.3,10-May,101,Don’t have to study anymore LETSS GOOOO,,
375,Accepted,Financial Analysis Risk Management,Yes,94,10-May,101,Completed Euclid and AIF,,
376,Accepted,Geography and Aviation,Yes,92.5,07-May,101,,,
377,Deferred,Geomatics,Yes,93.5,13-May,101,deferred from CS,,
378,Deferred,Geomatics,Yes,99,13-May,101,Deferred from CS,,
379,Deferred,Geomatics,Yes,96,13-May,101,deferred from CS,,
380,Deferred,Geomatics,Yes,95.3,13-May,101,Deferred from CS,,
381,Deferred,Geomatics,Yes,96.5,13-May,101,Deferred from CS,,
382,Deferred,Geomatics,Yes,95,13-Mar,101,Deferred from CS,,
383,Deferred,Geomatics,Yes,96.5,12-May,101,"87 euclid, 55 csmc (hr), 45 ccc, 2 national awards...shouldve cured cancer :/ Deferred from CS",,
384,Deferred,Geomatics,Yes,97.33,13-May,101,deferred from CS,,
